Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/01/04,AXP,AXP,S,CBOE,1460
2021/01/04,AXS,AXS,S,CBOE,14
2021/01/04,AXSM,AXSM,S,CBOE,33
2021/01/04,AXTA,AXTA,S,CBOE,130
2021/01/04,AXU,AXU,S,CBOE,79
2021/01/04,AY,AY,S,CBOE,52
2021/01/04,AYI,AYI,S,CBOE,20
2021/01/04,AYRO,AYRO,S,CBOE,263
2021/01/04,AYX,AYX,S,CBOE,1536
2021/01/04,AZN,AZN,S,CBOE,1424
2021/01/04,AZO,AZO,S,CBOE,181
2021/01/04,AZUL,AZUL,S,CBOE,207
2021/01/04,BA,BA,S,CBOE,26920
2021/01/04,BABA,BABA,S,CBOE,37549
2021/01/04,BAC,BAC,S,CBOE,19209
2021/01/04,BAH,BAH,S,CBOE,2
2021/01/04,BAL,BAL,S,CBOE,5
2021/01/04,BALY,BALY,S,CBOE,47
2021/01/04,BAM,BAM,S,CBOE,16
2021/01/04,BANC,BANC,S,CBOE,1
2021/01/04,BAND,BAND,S,CBOE,80
2021/01/04,BAX,BAX,S,CBOE,82
2021/01/04,BB,BB,S,CBOE,3296
2021/01/04,BBAR,BBAR,S,CBOE,6
2021/01/04,BBBY,BBBY,S,CBOE,5751
2021/01/04,BBD,BBD,S,CBOE,267
2021/01/04,BBH,BBH,S,CBOE,1
2021/01/04,BBIO,BBIO,S,CBOE,62
2021/01/04,BBL,BBL,S,CBOE,16
2021/01/04,BBSI,BBSI,S,CBOE,1
2021/01/04,BBVA,BBVA,S,CBOE,77
2021/01/04,BBY,BBY,S,CBOE,3359
2021/01/04,BC,BC,S,CBOE,1
2021/01/04,BCC,BCC,S,CBOE,5
2021/01/04,BCE,BCE,S,CBOE,2
2021/01/04,BCLI,BCLI,S,CBOE,63
2021/01/04,BCO,BCO,S,CBOE,7
2021/01/04,BCOR,BCOR,S,CBOE,219
2021/01/04,BCOV,BCOV,S,CBOE,66
2021/01/04,BCRX,BCRX,S,CBOE,193
2021/01/04,BCS,BCS,S,CBOE,47
2021/01/04,BDN,BDN,S,CBOE,2
